response_type,ledger_status,same_pass_action,source_note_action,selection_decision_action,next_page
Acknowledgement only,Acknowledged,"Record acknowledgement date, office, assigned tracking number, and promised response window.","No source-note change unless acknowledgement fixes repository, office, series, or file-unit facts.","No selection change; calendar follow-up outside the public site if needed.",request-tracking-ledger.html
Tracking number assigned,Sent or Acknowledged,"Add tracking number and receiving office to the ledger row.","Do not include tracking number in a FRUS source note unless it becomes part of a release record.","No selection change.",request-tracking-ledger.html
Fully released control copy,Released,"Record file name, page count, date received, and release status.","Draft or complete source-note row with repository, collection, series, folder, OA/ID or NAID, classification, document type, attachments, and declassification markings.","Run promotion gate; if all gates clear, update selection worksheet.",promotion-gate-checklist.html
Partially released substantive record,Partially released,"Record released pages, withheld pages, exemptions, referrals, and appeal/re-review path.","Update visible source-note facts; keep unresolved fields bracketed or named as withheld.","Keep as promote/review or hold depending on substance; log terminal-date or fallback issue if needed.",source-note-worklist.html
Withdrawal sheets only,Partially released,"Record withdrawal-sheet count, exemptions, document titles if visible, and release limitations.","Treat as locator/MDR support; do not draft final source note from withdrawal sheets alone.","Hold; use as MDR target unless metadata identifies a stronger pull.",request-tracking-ledger.html
Referred to another agency,Referred,"Record referring office, receiving agency, referral date, and any new tracking number.","Do not close source note; add referral agency as release-status fact if visible.","Hold; add follow-up row or note if referral creates a new route.",request-tracking-ledger.html
Denied or withheld in full,Partially released or Closed,"Record denial basis, exemptions, appeal deadline, and search/review scope.","No final source note unless a public fallback is selected after documented search.","Decide whether to appeal, re-request narrower tabs, use public fallback, or drop.",compiler-decision-log.html
Not located narrow search,Not located,"Record exact search scope, offices, collections, and date range searched.","Do not treat fact as unavailable; keep missing fields open.","Try another office, series, repository, or file-unit lead before fallback.",request-send-sheet.html
Not located broad documented search,Not located or Closed,"Record search scope in enough detail to justify fallback or dropping.","If using fallback, source note must explain why no archival control copy was located.","Update selection status to fallback, support, or drop; log decision if it affects a chapter anchor.",selection-worksheet.html
Better file unit identified,Sent or Acknowledged,"Add a new request row or sub-entry and link it back to original request ID.","Move known repository/series/folder facts to source-note row; do not close until file is reviewed.","Keep original candidate open; update send sheet if new target becomes better request.",request-send-sheet.html
Duplicate or variant packet found,Released or Partially released,"Record both file units, page counts, release differences, and which packet is fuller.","Compare source-note control fields; keep fuller control file as likely citation.","Update selection worksheet and decision log if control source changes.",compiler-decision-log.html
Public fallback only,Released or Not located,"Record public source, page range, and search path that failed to locate archival copy.","Draft fallback note only if compiler accepts public text as final fallback.","Keep public source as editorial support unless promotion gate clears fallback use.",promotion-gate-checklist.html
Substantive minutes or summary released,Released or Partially released,"Record meeting title, date, time/place, participants, attachments, and release status.","Draft meeting source note with repository, series, file unit, classification, meeting details, and attachment status.","Re-score as selected-document candidate if it shows management machinery.",selection-worksheet.html
Source-note facts complete but document value weak,Released,"Close source-note fields, but mark FRUS action as support or editorial note.","Keep final note only if cited; otherwise retain as support fact.","Do not promote; update selection worksheet to support/drop.",selection-worksheet.html
Candidate appears promotion-ready,Released or Partially released,"Confirm ledger, source-note row, selection worksheet, and decision log agree.","Remove unresolved brackets or explicitly document unavailable facts.","Run every promotion gate before changing status to selected.",promotion-gate-checklist.html
Response creates new follow-up route,"Sent, Referred, or Acknowledged","Add follow-up request row and preserve parent request ID.","Carry forward only verified facts; do not infer missing source-note data from referral.","Update action board or send sheet only if follow-up becomes priority route.",compiler-action-board.html
