slot,candidate,date_or_period,chapter_lane,public_source_status,public_source_url,current_posture,source_note_readiness,request_ids,request_link,decision_ids,blocking_evidence,next_action
1,"President Bush Chief-of-Mission letter, July 12, 1990",1990-07-12,Field management,Readable public fallback,https://archive.org/download/sim_state-magazine_1990-10_337/sim_state-magazine_1990-10_337.pdf,"Promote when final copy is found","Not ready / fallback",D1,research-request-packet.html#batch-d-chief-of-mission-letter,D05,"Signed/circulated White House, S/S, all-post, or Central Foreign Policy File copy; source fields; classification; distribution","Send or log D1; verify final copy; then run promotion gates"
2,"NSR-16, Comprehensive Review of International Affairs Budget and Programs",1989-06-07,Budget/program review,Public locator,https://catalog.archives.gov/id/446394955,"Promote for review",Partial,C1,research-request-packet.html#batch-c-nsr-16-budget-and-program-review,D06,"OA/ID, exact folder, classification, attachments, response/options paper, follow-on decisions","Send or log C1; decide whether NSR-16 or follow-on record is the chapter spine"
3,Chief-of-Mission Authority / NSDD 38 staffing package,Date unverified,Overseas staffing,Related public locator,https://catalog.archives.gov/id/470760858,"Hold as implementation companion","Not ready","C1; D1","research-request-packet.html#batch-c-nsr-16-budget-and-program-review; research-request-packet.html#batch-d-chief-of-mission-letter",D05,"Attachment relationship, exact source, title, date, classification, M/MO or M/MP copy","Close through C1/D1; select only if implementation machinery or conflict is visible"
4,Bush PDB process/control records,1989-1992,Intelligence consumption,Public source anchors only,https://www.cia.gov/resources/csi/static/First-Callers-President-Brief.pdf,"Hold until primary record is found","Not ready",E1,research-request-packet.html#e1-bush-pdb-process-records,D03,"Primary CIA/Bush process record, record type, control number, classification, release status","Send or log E1; obtain a briefer/control/tasking/distribution/feedback record"
5,Presidential Daily Diary and Daily Backup,1989-1992,Intelligence chronology,Public chronology support,https://www.bush41library.gov/digital-research-room/finding-aid/white-house-office-appointments-and-scheduling-files,"Support only","Support only",E2,research-request-packet.html#e2-daily-diary-and-backup-cross-checks,D04,"Date-specific entry/page, backup type, participants/call status, paired substantive record","Send or log E2; pair diary support with memcon/telcon/NSC/PDB process record"
6,"NSC/DC 151, Definition of Covert Action",1990-07-05,"Covert action / Congress",Public control PDF,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-151-90015-009.pdf,"Promote for review",Partial,A1,research-request-packet.html#a1-nscdc-151-definition-of-covert-action,D09,"Minutes, summary, draft language, legal memoranda, classification, meeting details, SSCI/HPSCI context","Send or log A1; promote only if substantive decision machinery releases"
7,"NSD 79, Approval and Review of Covert Action",1993-01-19,"Covert action / Congress",Public control PDF,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-79-90005-033.pdf,"Promote subject to terminal date",Partial,A4,research-request-packet.html#a4-nsd-79-approval-and-review-of-covert-action,D01,"Signed-final status, distribution, legal memo, classification, terminal-date acceptance","Send or log A4; record terminal-date decision before selection"
8,NSC0062 and NSR-29 Intelligence Priorities packets,1992-03-25,"Intelligence budget / IC organization",Two public control PDFs,"https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-62-90002-032.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_Foll-up_312294094/41-bpr-nsc-hfiles-dc_mtgs_foll_up-90043-037.pdf","Promote for review",Partial,"B1; B2","research-request-packet.html#b1-nsc0062-intelligence-capabilities; research-request-packet.html#b2-nsr-29-intelligence-priorities-packet",D08,"Gates presentation, withheld reports, packet comparison, classification","Send or log B1/B2; choose the fuller control source"
9,NSR 29 and NSD 67 control copies,1991-11-15/1992-03-30,"Intelligence budget / IC organization",Public locators and statement,"https://irp.fas.org/offdocs/nsr/index.html; https://irp.fas.org/offdocs/nsd/index.html; https://www.govinfo.gov/content/pkg/PPP-1992-book1/pdf/PPP-1992-book1-doc-pg528-2.pdf","Hold for official controls","Not ready / locator",B3,research-request-packet.html#b3-nsr-29-and-nsd-67-control-copies,D08,"Signed/circulated directives, distribution, fact sheet, OMB clearance, implementation guidance","Send or log B3; retain public sources as locators/fallback only"
10,"NSC Meeting Covert Action, December 20, 1991",1991-12-20,Covert-action chronology,"Public control PDF, mostly withdrawal",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_Foll-up_312294094/41-bpr-nsc-hfiles-dc_mtgs_foll_up-90043-025.pdf,"Hold / MDR target","Not ready / MDR",A2,research-request-packet.html#a2-december-20-1991-covert-action-nsc-meeting,D02,"Minutes, summary, agenda, decision paper, participants, attachments","Send or log A2; keep as chronology unless substantive material releases"
11,"NSC0066, Covert Action, December 23, 1992",1992-12-23,Covert-action chronology,Public locator,https://catalog.archives.gov/id/470760974,"Hold / MDR locator","Not ready",A3,research-request-packet.html#a3-nsc0066-covert-action,D02,"File unit, control ID, release status, minutes/summary, participants, attachments","Request only if late-1992 endpoint is needed"
12,Reagan-Bush transition briefing book on NSC organization,1989-01,"Transition / inherited machinery",Public locator,https://catalog.archives.gov/id/470760855,"Promote selectively as opening frame","Partial locator",Archival matrix,archival-pull-matrix.html,D07,"Exact file/page, authorship, cover memo, classification, decision-bearing content","Select one opening document only after source fields and value are fixed"
13,National Security Council Administrative Manual,1989-01,"Transition / procedure",Public locator,https://catalog.archives.gov/id/470760856,"Support unless decision-bearing page emerges","Support only",Archival matrix,archival-pull-matrix.html,D07,"Exact folder, date/version, page range, classification, reason for citation","Use as source-note support unless a concrete management decision emerges"
14,State Baker/Eagleburger/Kimmitt/Zoellick/Kanter/Ross lot files,1989-1993,State management,Published FRUS source-list references,https://history.state.gov/historicaldocuments/frus1989-92v31/sources,"Hold until files are read","Not ready",F1-F6,research-request-packet.html#batch-f-state-lot-files,"D10; D12; D13","Exact lot/folder/document, classification, drafting/clearance, relation to public statements","Send or log F1-F6; replace public speeches with internal State records"
15,FY 1992/FY 1993 public budget statements,1991-1992,Foreign affairs budget,Readable public statements,current-policy-sweep.html,"Support / fallback","Fallback only","Batch F; OMB follow-up",research-request-packet.html#batch-f-state-lot-files,D10,"Internal State, OMB, White House, DCI, or committee record; fallback justification","Retain as editorial support unless broad search supports fallback"
16,NIS assistance coordination / FREEDOM Support Act follow-up,1991-1992,NIS assistance machinery,Public-source trail,dispatch-1991-1992-sweep.html,Selective,"Not ready","F4; F5",research-request-packet.html#batch-f-state-lot-files,D12,"Internal implementation record from Zoellick, Kanter, AID, S/P, or NSC files","Develop only if records show machinery rather than regional narrative"
17,Foreign Service modernization and Department reorganization,1991-1992,"Foreign Service / Department management",Public-source trail,dispatch-1991-1992-sweep.html,Selective,"Not ready",State functional-office pulls,archival-pull-matrix.html,"D10; D11","Internal M, DG/HR, DS, S/S, or Secretary-level implementation record","Reserve a slot only after an implementation record is found"
18,"Refugee admissions, COCOM/export controls, Gulf public diplomacy, IO arrears",1989-1992,Case studies,Public statements and locators,current-policy-sweep.html,Selective,"Not ready",Case-specific pulls,archival-pull-matrix.html,D11,"Case record showing machinery, budget control, staffing, authority, oversight, or implementation dispute","Include at most one or two; drop leads without organization/management value"
