send_order,request_id,priority,route,subject,submit_with,after_send_update,request_anchor
1,A1,1,Bush Library Textual Archives; Presidential Libraries MDR,"MDR request - NSC/DC 151, Definition of Covert Action, July 5, 1990","NAID 352356448; local ID 90015-009; file unit link; public PDF","Ledger A1; source-note row 6; selection slot 6; decision D09",research-request-packet.html#a1-nscdc-151-definition-of-covert-action
2,A4,1,Bush Library Textual Archives; Presidential Libraries MDR,"Reference/MDR request - NSD 79, Approval and Review of Covert Action","OA/ID 90005-033; Bush finding aid; public PDF","Ledger A4; source-note row 9; selection slot 7; decision D01",research-request-packet.html#a4-nsd-79-approval-and-review-of-covert-action
3,B1,1,Bush Library Textual Archives; Presidential Libraries MDR,"MDR request - NSC0062, Intelligence Capabilities/1992-2005, March 25, 1992","NAID 470760970; local ID 90002-032; file unit link; public PDF","Ledger B1; source-note row 7; selection slot 8; decision D08",research-request-packet.html#b1-nsc0062-intelligence-capabilities
4,B2,1,Bush Library Textual Archives; Presidential Libraries MDR,"MDR request - NSC Meeting NSR-29 Intelligence Priorities, March 25, 1992","NAID 470761501; local ID 90043-037; file unit link; public PDF","Ledger B2; source-note row 8; compare against B1",research-request-packet.html#b2-nsr-29-intelligence-priorities-packet
5,B3,1,Bush Library Textual Archives; Presidential Libraries MDR,"Reference/MDR request - NSR 29 and NSD 67, Intelligence Capabilities - 1992-2005","FAS NSR locator; FAS NSD locator; Fitzwater public statement","Ledger B3; source-note row 12; selection slot 9; decision D08",research-request-packet.html#b3-nsr-29-and-nsd-67-control-copies
6,D1,1,Bush Library Textual Archives; State S/S; M/MO or M/MP; Central Foreign Policy File,"Reference request - President Bush July 12, 1990 Chief-of-Mission letter","Published State text; NARA authority file NAID 470760858","Ledger D1; source-note row 1; selection slot 1; decision D05",research-request-packet.html#batch-d-chief-of-mission-letter
7,C1,1,Bush Library Textual Archives; Presidential Libraries MDR,"Reference/MDR request - NSR-16, Comprehensive Review of International Affairs Budget and Programs","NARA Catalog NAID 446394955","Ledger C1; source-note rows 2-3; selection slots 2-3; decision D06",research-request-packet.html#batch-c-nsr-16-budget-and-program-review
8,E1,1,CIA Information and Privacy / MDR; Bush Library follow-up if NSC morning-meeting files are identified,"Reference/MDR request - President Bush PDB process and control records, 1989-1992","CIA public histories as locators; request primary process/control records","Ledger E1; source-note row 13; selection slot 4; decision D03",research-request-packet.html#e1-bush-pdb-process-records
9,E2,2,Bush Library Textual Archives / Appointments and Scheduling files,"Reference request - Presidential Daily Diary and Daily Backup entries for intelligence briefings and related calls","NARA Catalog NAID 186322; Bush finding aid; Memcons/Telcons table","Ledger E2; source-note row 14; selection slot 5; decision D04",research-request-packet.html#e2-daily-diary-and-backup-cross-checks
10,A2,1,Bush Library Textual Archives; Presidential Libraries MDR,"MDR request - NSC Meeting Covert Action, December 20, 1991","NAID 470761489; local ID 90043-025; file unit link; public PDF","Ledger A2; source-note row 10 if substantive pages release",research-request-packet.html#a2-december-20-1991-covert-action-nsc-meeting
11,A3,2,Bush Library Textual Archives; Presidential Libraries MDR if file unit is identified,"MDR/reference request - NSC0066, Covert Action, December 23, 1992","NARA Catalog NAID 470760974; processed NSC meetings page","Ledger A3; source-note row 11 if late-1992 endpoint material matters",research-request-packet.html#a3-nsc0066-covert-action
12,F1,1,State lot-file research / National Archives and State Department research process,"Reference pull - Lot 93D187, Baker classified papers","FRUS Volume XXXI sources page; exact lot title","Ledger F1; source-note row 15; decision D13",research-request-packet.html#batch-f-state-lot-files
13,F2,1,State lot-file research / National Archives and State Department research process,"Reference pull - Lot 95D335, Eagleburger chron and subject files","FRUS Volume XXXI sources page; exact lot title","Ledger F2; source-note row 15; decision D13",research-request-packet.html#batch-f-state-lot-files
14,F3,1,State lot-file research / National Archives and State Department research process,"Reference pull - Lot 91D490, Kimmitt special and chron files","FRUS Volume XXXI sources page; exact lot title","Ledger F3; source-note row 15; decision D13",research-request-packet.html#batch-f-state-lot-files
15,F4,1,State lot-file research / National Archives and State Department research process,"Reference pull - Lot 94D589, Zoellick Counselor records","FRUS Volume XXXI sources page; exact lot title","Ledger F4; source-note row 15; decision D12",research-request-packet.html#batch-f-state-lot-files
16,F5,2,State lot-file research / National Archives and State Department research process,"Reference pull - Lot 93D396, Kanter files","FRUS Volume XXXI sources page; exact lot title","Ledger F5; source-note row 15 if late-volume coverage remains thin",research-request-packet.html#batch-f-state-lot-files
17,F6,2,State lot-file research / National Archives and State Department research process,"Reference pull - Lot 93D519, Ross correspondence and chron files","FRUS Volume XXXI sources page; exact lot title","Ledger F6; use only if Policy Planning records reveal process machinery",research-request-packet.html#batch-f-state-lot-files
