slot,candidate,chapter_lane,current_posture,selection_blocker,request_dependency,decision_dependency,promotion_gate_focus,next_closeout_action,primary_pages
1,"President Bush Chief-of-Mission letter, July 12, 1990",Field management,"Promote once final copy is found","Signed/circulated White House, S/S, all-post, or Central Foreign Policy File copy; repository/series/folder; classification; distribution",D1,D05,"Gates 2, 3, 4, 7","Send or log D1; update source-note row 1, selection slot 1, and request ledger","research-request-packet.html#batch-d-chief-of-mission-letter; source-note-worklist.html; selection-worksheet.html"
2,"NSR-16, Comprehensive Review of International Affairs Budget and Programs",Budget/program review,"Promote for review","OA/ID, exact folder, classification, attachments, response/options paper, Scowcroft/OMB follow-on decisions",C1,D06,"Gates 2, 3, 4, 5, 7","Send or log C1; decide whether NSR-16 or a follow-on paper is the Function 150 spine","research-request-packet.html#batch-c-nsr-16-budget-and-program-review; decision-resolution-sheet.html"
3,Chief-of-Mission Authority / NSDD 38 staffing package,Overseas staffing,"Hold as implementation companion","Attachment relationship, source file, exact title, M/MO or M/MP copy, classification","C1; D1",D05,"Gates 2, 3, 5, 7","Close through C1 and D1; select only if it shows implementation machinery or agency conflict","research-request-packet.html#batch-c-nsr-16-budget-and-program-review; research-request-packet.html#batch-d-chief-of-mission-letter"
4,Bush PDB process/control records,Intelligence consumption,"Hold until primary record is located","Primary CIA/Bush process record, record type, control number, classification, release status",E1,D03,"Gates 2, 3, 4, 5, 7","Send or log E1; do not substitute CIA histories for the selected document","research-request-packet.html#e1-bush-pdb-process-records; intelligence-matters-chapter.html"
5,Presidential Daily Diary and Daily Backup entries,Intelligence chronology,"Support only","Date-specific entry/page, backup material type, participants/call status, paired substantive record",E2,D04,"Gate 5 support use","Send or log E2; use for chronology and source-note support only","research-request-packet.html#e2-daily-diary-and-backup-cross-checks; source-note-worklist.html"
6,"NSC/DC 151, Definition of Covert Action",Covert action / Congress,"Promote for review","Minutes, summary of conclusions, draft language, memoranda, classification, meeting time/location, tabs",A1,D09,"Gates 2, 3, 4, 5, 7","Send or log A1; select only if released material shows decision content or congressional-interaction machinery","research-request-packet.html#a1-nscdc-151-definition-of-covert-action; intelligence-matters-chapter.html"
7,"NSD 79, Approval and Review of Covert Action",Covert action / Congress,"Promote subject to terminal date","Signed-final/version status, distribution, legal memo, classification, terminal-date acceptance",A4,D01,"Gates 2, 3, 4, 5, 6, 7","Send or log A4; record terminal-date decision before final selection","research-request-packet.html#a4-nsd-79-approval-and-review-of-covert-action; decision-resolution-sheet.html"
8,NSC0062 and NSR-29 Intelligence Priorities packets,Intelligence budget / IC organization,"Promote for review","Gates presentation, requirements report, intelligence-priorities report, duplicate/variant packet comparison, classification","B1; B2",D08,"Gates 2, 3, 4, 5, 7","Send or log B1 and B2; choose the fuller control packet","research-request-packet.html#b1-nsc0062-intelligence-capabilities; research-request-packet.html#b2-nsr-29-intelligence-priorities-packet"
9,NSR 29 and NSD 67 control copies,Intelligence budget / IC organization,"Hold until official controls are found","Signed/circulated directives, distribution, fact sheet, OMB clearance, implementation guidance",B3,D08,"Gates 2, 3, 4, 7","Send or log B3; keep FAS/Public Papers as locators only","research-request-packet.html#b3-nsr-29-and-nsd-67-control-copies; source-note-worklist.html"
10,"NSC Meeting Covert Action, December 20, 1991",Covert-action chronology,"Hold/MDR target","Substantive minutes, summary, agenda, decision paper, participant list, attachment list",A2,D02,"Gates 3, 4, 5","Send or log A2; keep chronology/MDR status unless substantive pages release","research-request-packet.html#a2-december-20-1991-covert-action-nsc-meeting; intelligence-matters-chapter.html"
11,"NSC0066, Covert Action, December 23, 1992",Covert-action chronology,"Hold/MDR locator","File unit, OA/ID or local ID, release status, minutes/summary, participants, attachments",A3,D02,"Gates 2, 3, 4, 5","Send or log A3 only if a late-1992 covert-action endpoint is needed","research-request-packet.html#a3-nsc0066-covert-action; source-note-worklist.html"
12,Reagan-Bush transition briefing book on NSC organization,Transition/inherited machinery,"Promote selectively as opening frame","Exact source-note fields, selected page/document, classification, authorship/cover memo","Archival matrix",D07,"Gates 2, 3, 5, 7","Use NSC administrative review and archival pull matrix; select one strong opening document only","nsc-admin-transition-review.html; archival-pull-matrix.html"
13,National Security Council Administrative Manual,Transition/procedure,"Support unless decision-bearing page emerges","Exact folder, date/version, page range, classification, reason for citation","Archival matrix",D07,"Gate 5","Keep as source-note support unless a page shows a concrete management decision","nsc-admin-transition-review.html; archival-pull-matrix.html"
14,Baker/Eagleburger/Kimmitt/Zoellick/Kanter/Ross lot files,State management,"Hold until document-level records are read","Exact lot/folder/document, classification, drafting/clearance, relationship to public statements",Batch F,"D10; D12; D13","Gates 2, 3, 5, 7","Send or log Batch F; use internal State records to replace public speeches wherever possible","research-request-packet.html#batch-f-state-lot-files; archival-pull-matrix.html"
15,FY 1992/FY 1993 public budget statements,Foreign affairs budget,"Support/fallback","Internal State, OMB, White House, DCI, or committee records; fallback justification if no internal record is found","Batch F and OMB follow-up",D10,"Gates 5, 6","Keep public statements as editorial support; promote only after documented search and fallback decision","current-policy-sweep.html; dispatch-1991-1992-sweep.html"
16,Coordinating Assistance to the New Independent States / FREEDOM Support Act follow-up,NIS assistance machinery,Selective,"Internal implementation record from Zoellick, Kanter, AID, S/P, NSC economic, or State lot files","Batch F plus follow-up",D12,"Gates 2, 3, 5, 7","Develop only if files show assistance machinery rather than regional policy narrative","research-request-packet.html#batch-f-state-lot-files; dispatch-1991-1992-sweep.html"
17,Foreign Service modernization and Department reorganization leads,Foreign Service / Department management,Selective,"Internal M, DG/HR, DS, S/S, or Secretary-level implementation record","State functional-office pulls","D10; D11","Gates 2, 3, 5, 7","Keep selective until a functional-office record shows decisions or implementation","dispatch-1991-1992-sweep.html; selection-worksheet.html"
18,"Refugee admissions, COCOM/export controls, Gulf public diplomacy, IO arrears",Case studies,Selective,"Case-specific record showing machinery, budget control, staffing, authority, oversight, or implementation dispute","Case-specific pulls",D11,"Gate 5 decisive","Include at most one or two case studies; drop leads without organization/management value","current-policy-sweep.html; dispatch-1991-1992-sweep.html"
