request_id,priority,target,route,current_project_status,response_evidence_needed,selection_source_note_action
A1,1,"NSC/DC 151, Definition of Covert Action, July 5, 1990, NAID 352356448, Local ID 90015-009",research-request-packet.html#a1-nscdc-151-definition-of-covert-action,Not recorded,"Minutes, summary of conclusions, draft statutory/report language, David C. Miller memorandum, Working-to-Gates memorandum, SSCI/HPSCI context, classification, meeting time/location, attachment list","If substantive minutes or summary release, promote as covert-action/congressional-interaction document; otherwise use as MDR/source-note support."
A2,1,"NSC Meeting Covert Action, December 20, 1991, NAID 470761489, Local ID 90043-025",research-request-packet.html#a2-december-20-1991-covert-action-nsc-meeting,Not recorded,"Minutes, summary, agenda, decision papers, participant/invitee material, attachments, classification and handling markings","Keep as chronology/MDR target unless substantive decision material releases."
A3,2,"NSC0066, Covert Action, December 23, 1992, NAID 470760974",research-request-packet.html#a3-nsc0066-covert-action,Not recorded,"Exact file unit, OA/ID or local ID, release status, minutes, summary, agenda, participants, attachments","Use only if chapter needs a terminal covert-action meeting or if released material changes selection value."
A4,1,"NSD 79, Approval and Review of Covert Action, January 19, 1993, OA/ID 90005-033",research-request-packet.html#a4-nsd-79-approval-and-review-of-covert-action,Not recorded,"Signed final, distribution list, Scowcroft transmittals, legal memoranda, draft/version-control records, attachments, classification/handling","If terminal-date issue is accepted, likely select as capstone covert-action procedure document."
B1,1,"NSC0062, Intelligence Capabilities/1992-2005, March 25, 1992, NAID 470760970, Local ID 90002-032",research-request-packet.html#b1-nsc0062-intelligence-capabilities,Not recorded,"Gates presentation, Scowcroft outline, Working-to-Scowcroft memo, NSR-29 requirements report, intelligence-priorities report, IC reorganization papers, participant list","If substantive tabs release, promote as intelligence-budget/community-management document."
B2,1,"NSC Meeting NSR-29 Intelligence Priorities, March 25, 1992, NAID 470761501, Local ID 90043-037",research-request-packet.html#b2-nsr-29-intelligence-priorities-packet,Not recorded,"Duplicate or variant tabs, Hill-briefing rationale, requirements/priorities/reorganization/budget materials","Compare against B1; use fullest packet as control source."
B3,1,NSR 29 and NSD 67 control copies and backing papers,research-request-packet.html#b3-nsr-29-and-nsd-67-control-copies,Not recorded,"Signed/circulated controls, distribution lists, fact sheets, Scowcroft/Gates memoranda, OMB clearance, DCI implementation, NFIP mechanism","Replace FAS/Public Papers locators with official control copies; update source-note audit."
C1,1,"NSR-16 and follow-on budget/program review records, NAID 446394955",research-request-packet.html#batch-c-nsr-16-budget-and-program-review,Not recorded,"Response/options paper, agency submissions, OMB/NSC staff comments, Scowcroft recommendations, follow-on NSD or budget decision, attachments","Select NSR-16 only after follow-on decision record is checked; update budget chapter sequence."
D1,1,"President Bush Chief-of-Mission letter, July 12, 1990",research-request-packet.html#batch-d-chief-of-mission-letter,Not recorded,"Signed/circulated White House or S/S copy, clearance, distribution, all-post cable or dissemination record, Central Foreign Policy File copy","Promote once archival final copy is located; public State text remains fallback."
E1,1,"Bush PDB process/control records, 1989-1992",research-request-packet.html#e1-bush-pdb-process-records,Not recorded,"Briefer notes, daily debriefs, control sheets, tasking logs, distribution instructions, supplements, Signs of the Times, presidential feedback","Select primary process/control record if releasable; do not substitute CIA histories as document source."
E2,2,"Presidential Daily Diary and Daily Backup cross-checks, NAID 186322",research-request-packet.html#e2-daily-diary-and-backup-cross-checks,Not recorded,"Entries and backup material for January 23, 1989; February 15, 1989; January 16-17, 1991; February 27, 1991; March 25, 1992","Use for chronology, participants, call status, and source-note support; pair with substantive records."
F1,1,"Lot 93D187, Baker classified papers",research-request-packet.html#batch-f-state-lot-files,Not recorded,"Budget, Chief-of-Mission clearance, congressional strategy, assistance reform, State-NSC management","Identify internal State documents that can replace public speeches."
F2,1,"Lot 95D335, Eagleburger chron/subject files",research-request-packet.html#batch-f-state-lot-files,Not recorded,"Deputy/Acting Secretary management, post-Gulf workload, staffing, budget, transition, disputes","Fill State management and late-administration gaps."
F3,1,"Lot 91D490, Kimmitt special/chron files",research-request-packet.html#batch-f-state-lot-files,Not recorded,"Early policy-process management, NSR-16 follow-through, interagency process","Identify early internal process documents."
F4,1,"Lot 94D589, Zoellick Counselor records",research-request-packet.html#batch-f-state-lot-files,Not recorded,"Assistance coordination, economic policy process, G-24, NIS, Eastern Europe, management","Develop NIS/assistance machinery chapter if document-level records exist."
F5,2,"Lot 93D396, Kanter files",research-request-packet.html#batch-f-state-lot-files,Not recorded,"Late-1991/1992 management, Soviet collapse/NIS workload, Clinton transition","Close late-volume coverage gap."
F6,2,"Lot 93D519, Ross correspondence and chron files",research-request-packet.html#batch-f-state-lot-files,Not recorded,"Policy Planning workflow, strategy papers, assistance coordination, Secretary/S/P process","Use only if records reveal process machinery."
