date,document,status,public_access,compiler_use,source_note_status,project_report,request_or_gap
1989-01,"Reagan-Bush Transition Briefing Book: Background on NSC Organization and Administration","Public locator","https://catalog.archives.gov/id/470760855","Opening institutional frame for inherited NSC organization, staff structure, interagency process, budget, and administration.","Not final: verify exact file unit, series, classification, and selected page or cover memo.",nsc-admin-transition-review.html,archival-pull-matrix.html
1989-01,"National Security Council Administrative Manual","Public locator","https://catalog.archives.gov/id/470760856","Source-note support for NSC staff records, Secretariat routing, chron files, travel, inprocessing, and administrative controls.","Not final: use as support unless a decision-bearing page is selected.",nsc-admin-transition-review.html,archival-pull-matrix.html
1989-01,"Authorities and Responsibilities of the United States Chief of Mission","Public locator","https://catalog.archives.gov/id/470760858","Related COM authority file with statutory material and an earlier Bush/Armacost variant.","Related source only; not the final July 12, 1990 all-Chief-of-Mission letter.",bush-chief-of-mission-letter.html,research-request-packet.html#batch-d-chief-of-mission-letter
1989-01-23,"Bush Library Daily Record and Memcons/Telcons table","Readable public copy","https://www.bush41library.gov/digital-research-room/daily-record?date=1989-01-23; https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons","First-week morning intelligence/NSC workflow and foreign-leader call pattern.","Chronology support only; pair with released telcons or PDB process records for substance.",intelligence-matters-chapter.html,research-request-packet.html#e2-daily-diary-and-backup-cross-checks
1989-02-15,"Bush Library Daily Record","Readable public copy","https://www.bush41library.gov/digital-research-room/daily-record?date=1989-02-15","Early photo and schedule trail for NSC/intelligence briefing practice.","Chronology and WHPO-caption support only.",intelligence-matters-chapter.html,research-request-packet.html#e2-daily-diary-and-backup-cross-checks
1989-06-07,"NSR-16, Comprehensive Review of International Affairs Budget and Programs","Public locator","https://catalog.archives.gov/id/446394955","Must-review Function 150, foreign assistance, refugee, USIA, IO, congressional strategy, and management-reform directive.","Partial: final source note needs OA/ID, folder title, classification, signature/routing, and attachments.",nsr-16-budget-review.html,research-request-packet.html#batch-c-nsr-16-budget-and-program-review
1990-07-05,"NSC/DC 151, Definition of Covert Action","Public control PDF","https://www.bush41library.gov/digital-research-room/finding-aid/records-national-security-council-george-h-w-bush-administration?naid=352356448; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-151-90015-009.pdf","Earliest recovered official online packet for covert-action definition, draft statutory/report language, and SSCI/HPSCI consultation context.","Partial: OA/ID 90015-009 known; meeting record, classification, and withheld tabs need verification/MDR.",intelligence-matters-chapter.html,research-request-packet.html#a1-nscdc-151-definition-of-covert-action
1990-07-12,"President Bush Chief-of-Mission letter, printed in State, October 1990","Readable public copy / fallback","https://archive.org/download/sim_state-magazine_1990-10_337/sim_state-magazine_1990-10_337.pdf","Strongest accessible text for ambassador authority, field command, overseas staffing, security, ethics, and State channel control.","Fallback only: final source note should use signed/circulated White House, S/S, or all-post dissemination copy if located.",bush-chief-of-mission-letter.html,research-request-packet.html#batch-d-chief-of-mission-letter
1991-01-16,"Bush Library Daily Record","Readable public copy","https://www.bush41library.gov/digital-research-room/daily-record?date=1991-01-16","Desert Storm opening-day intelligence briefing, NSC briefing, coalition calls, congressional calls, and senior decision rhythm.","Chronology support only; pair with memcons, telcons, NSC files, or PDB process records.",intelligence-matters-chapter.html,research-request-packet.html#e2-daily-diary-and-backup-cross-checks
1991-01-17,"Bush Library Daily Record","Readable public copy","https://www.bush41library.gov/digital-research-room/daily-record?date=1991-01-17","Post-strike intelligence briefing, NSC briefing, and senior follow-up meeting.","Chronology support only.",intelligence-matters-chapter.html,research-request-packet.html#e2-daily-diary-and-backup-cross-checks
