decision_id,decision,status,recommended_default,evidence_already_assembled,consequence_of_decision,record_updates
D01,"Can January 19, 1993 NSD 79 be selected in a 1989-1992 volume?","Default ready","Treat as a Bush administration capstone unless the compiler enforces a hard December 31, 1992 terminal date.","NSD 79 public/control PDF; source-note worklist; selection worksheet.","If yes, NSD 79 can anchor covert-action procedure; if no, keep it as terminal editorial context and prioritize earlier covert-action records.","selection-worksheet.html; source-note-worklist.html; research-request-packet.html#a4-nsd-79-approval-and-review-of-covert-action"
D02,"Does the volume include a separate intelligence matters chapter?","Default ready","Yes, if primary records support at least PDB process, covert-action/congressional notification, and intelligence budget/community management.","Intelligence matters chapter; compiler handoff; declassified index.","If yes, reserve document slots for intelligence process records; if no, distribute those records into NSC/process and budget chapters.","provisional-volume-outline.html; selection-worksheet.html; candidate-register.html"
D03,"Can a PDB process/control record be selected without publishing PDB substance?","Evidence dependent","Select a primary process/control record if releasable; do not substitute CIA public histories as selected documents.","Request E1; source-note worklist; intelligence matters chapter.","Determines whether the intelligence chapter has a presidential-consumption document or only an editorial chronology.","request-tracking-ledger.html; source-note-worklist.html; selection-worksheet.html"
D04,"How should Presidential Daily Diary and Daily Backup material be used?","Default ready","Use for chronology, participants, call status, and backup-material existence only; pair with substantive records.","Request E2; source-note audit; declassified index.","Prevents diary entries from being over-used as substitutes for memcons, telcons, PDB content, or minutes.","source-note-worklist.html; selected-document notes"
D05,"Can the printed State version of the July 12, 1990 Chief-of-Mission letter be used if no archival final copy is found?","Evidence dependent","Prefer signed/circulated White House, S/S, or all-post dissemination copy; use printed State text only as fallback after documented search.","Bush Chief-of-Mission letter report; Request D; source-note worklist.","Determines whether the strongest field-management document can be selected from public text or must wait for archival copy.","selection-worksheet.html; source-note-worklist.html; request-tracking-ledger.html"
D06,"Should NSR-16 itself be selected, or should a response/options/follow-on decision paper supersede it?","Evidence dependent","Start with NSR-16, but select the follow-on decision record if it gives better management choices and source-note control.","NSR-16 review; Request C; selection worksheet.","Determines the spine of the Function 150/budget chapter.","selection-worksheet.html; source-note-worklist.html; candidate-register.html"
D07,"Is NSC procedure an opening frame or a standalone chapter?","Default ready","Use one strong opening document plus source-note support unless a procedural file shows a concrete management decision.","NSC administrative transition review; selection worksheet; declassified index.","Prevents manuals and procedure binders from crowding out decision-bearing records.","provisional-volume-outline.html; selection-worksheet.html"
D08,"Should the March 25, 1992 NSC0062/NSR-29 packets stand in for unresolved NSR 29 and NSD 67 control copies?","Evidence dependent","Use the March 25 packets as public-control files for review/MDR, but keep pulling official NSR 29 and NSD 67 control copies.","Intelligence matters chapter; Requests B1/B2/B3; source-note worklist.","Determines which intelligence-budget source note becomes the control citation.","source-note-worklist.html; selection-worksheet.html; request-tracking-ledger.html"
D09,"Is NSC/DC 151 selectable if the public packet remains mostly withdrawn?","Evidence dependent","Select only if minutes, summary, draft language, or substantive memoranda release enough decision content; otherwise use as MDR/source-note support.","NSC/DC 151 public PDF; Request A1; source-note worklist.","Determines whether early covert-action/congressional consultation has a selected document or only an archival target.","selection-worksheet.html; request-tracking-ledger.html; source-note-worklist.html"
D10,"Are public budget speeches and Dispatch/Current Policy items selectable?","Default ready","Use as fallback or editorial chronology; prefer internal OMB, State, White House, and lot-file records.","Current Policy sweep; Dispatch sweep; source-note audit.","Keeps the volume centered on management decisions rather than public justification speeches.","selection-worksheet.html; candidate-register.html"
D11,"How many interagency case studies belong in the volume?","Default ready","One or two maximum, only where the case reveals machinery, budget control, staffing, authority, or implementation disputes.","Selection worksheet; compiler gap assessment; cross-source candidates.","Controls scope creep into regional policy substance.","provisional-volume-outline.html; candidate-register.html"
D12,"Should NIS assistance coordination become a late-volume management lane?","Evidence dependent","Develop it if Zoellick, Kanter, AID, S/P, or NSC economic files show implementation machinery rather than regional policy narrative.","Dispatch sweep; selection worksheet; Request F.","Determines whether 1991-1992 coverage has a strong mature-administration management chapter.","provisional-volume-outline.html; selection-worksheet.html; request-tracking-ledger.html"
D13,"Which State lot files get first pull priority?","Default ready","Start with Baker Lot 93D187, Eagleburger Lot 95D335, Kimmitt Lot 91D490, Zoellick Lot 94D589, Kanter Lot 93D396, and Ross Lot 93D519.","Research request packet Batch F; archival pull matrix; compiler gap assessment.","Determines whether public speeches can be replaced by internal management records.","request-tracking-ledger.html; archival-pull-matrix.html"
D14,"What rule controls conflict between public text and archival original?","Default ready","Archival control copy governs when available; public text remains locator, fallback, or editorial support.","Source-note audit; source-note worklist; link health audit.","Prevents source notes from treating URLs, magazine text, FAS indexes, statutes, or Public Papers as final archival citations.","source-note-worklist.html; selected-document source notes"
