decision_id,decide_when,recommended_action,trigger_evidence,update_immediately,status
D01,"Now before promoting NSD 79","Accept January 19, 1993 NSD 79 as a Bush administration capstone unless hard December 31, 1992 terminal date is enforced.","NSD 79 file; terminal-date policy; signed-final/version facts","selection-worksheet.html; source-note-worklist.html; promotion-gate-checklist.html","Default ready"
D02,"Now subject to primary-record support","Keep separate intelligence matters chapter if primary records support PDB process, covert-action/congressional notification, and intelligence budget/community management.","Intelligence chapter; Batch A/B/E responses; selection worksheet slots 4-9","provisional-volume-outline.html; selection-worksheet.html; candidate-register.html","Default ready"
D03,"After E1 response","Select a primary PDB process/control record if releasable; do not select public CIA histories as substitute documents.","E1 request; CIA/Bush Library response; response triage","request-tracking-ledger.html; source-note-worklist.html; selection-worksheet.html","Evidence dependent"
D04,Now,"Use Daily Diary/Daily Backup only for chronology, participants, call status, and backup-material existence.","E2 request; source-note audit; Daily Diary date pulls","source-note-worklist.html; selected-document notes; response-triage-sheet.html","Default ready"
D05,"After D1 response or documented no-find","Prefer signed/circulated July 12, 1990 COM letter; use printed State text only as fallback after documented search.","D1 request; Bush/State response; all-post dissemination evidence or broad not-located response","selection-worksheet.html; source-note-worklist.html; request-tracking-ledger.html","Evidence dependent"
D06,"After C1 response","Select best Function 150 record: NSR-16 if no stronger response/options/follow-on decision paper exists.","C1 request; response/options paper; OMB/NSC follow-on records","selection-worksheet.html; source-note-worklist.html; candidate-register.html","Evidence dependent"
D07,Now,"Use NSC procedure as an opening frame unless a procedural file shows a concrete management decision.","NSC administrative review; document-level review of transition/procedure files","provisional-volume-outline.html; selection-worksheet.html","Default ready"
D08,"After B1-B3 response comparison","Use March 25, 1992 packets as public-control review/MDR files, but keep pulling NSR 29 and NSD 67 official control copies.","B1/B2/B3 responses; duplicate/variant packet comparison; NSR/NSD control-copy results","source-note-worklist.html; selection-worksheet.html; request-tracking-ledger.html","Evidence dependent"
D09,"After A1 response","Select NSC/DC 151 only if minutes, summary, draft language, or substantive memoranda release enough decision content.","A1 response; released minutes/summary/tabs or only withdrawal sheets","selection-worksheet.html; request-tracking-ledger.html; source-note-worklist.html","Evidence dependent"
D10,Now,"Treat public budget speeches, Dispatch, Current Policy, statutes, and Public Papers as fallback/editorial support; prefer internal records.","Current Policy sweep; Dispatch sweep; State/OMB/Bush lot-file results","selection-worksheet.html; candidate-register.html; source-note-worklist.html","Default ready"
D11,Now,"Limit case studies to one or two, and only if they reveal machinery rather than policy substance.","Selection worksheet; compiler gap assessment; case-specific file review","provisional-volume-outline.html; candidate-register.html","Default ready"
D12,"After Batch F / follow-up file review","Develop NIS assistance coordination only if internal files show implementation machinery.","Zoellick, Kanter, AID, S/P, NSC economic, or State lot-file responses","provisional-volume-outline.html; selection-worksheet.html; request-tracking-ledger.html","Evidence dependent"
D13,Now,"Pull State lot files in this order: Baker, Eagleburger, Kimmitt, Zoellick, Kanter, Ross.","Batch F; archival pull matrix","request-tracking-ledger.html; request-send-sheet.html; archival-pull-matrix.html","Default ready"
D14,Now,"Archival control copy governs; public text remains locator, fallback, or editorial support unless fallback is documented and accepted.","Source-note audit; source-note worklist; public/control copy comparison","source-note-worklist.html; promotion-gate-checklist.html; selected-document source notes","Default ready"
