priority,candidate,readiness,working_source_note_form,missing_fields_to_close,closure_action,related_link
1,"President Bush Chief-of-Mission letter, July 12, 1990","Not ready / fallback public text","Source: George H.W. Bush Library, Bush Presidential Records, [White House office/series to verify], OA/ID [verify], [folder title]. [Classification marking to verify]. [Covering memorandum, distribution, or signed-copy note to verify.]","Repository office/series, OA/ID, folder title, signed/circulated status, classification, clearance, distribution, all-post dissemination record.","Use Request D; cite published State text only as fallback.",research-request-packet.html#batch-d-chief-of-mission-letter
2,"NSR-16, Comprehensive Review of International Affairs Budget and Programs","Partial","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID [verify], NSR-16--June 07, 1989--Comprehensive Review of International Affairs Budget and Programs [1]. [Classification marking to verify].","OA/ID, exact folder title, classification, signature/routing, attachments, response/options paper, follow-on recommendations or decision.","Use Request C; compare with NSR-16 review.",research-request-packet.html#batch-c-nsr-16-budget-and-program-review
3,"Chief-of-Mission Authority / NSDD 38 staffing package","Not ready","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID [verify], [folder title], Tab [verify]. [Classification marking to verify]. Attached to [verify].","Whether the staffing package is an attachment, tab, embedded paper, or separate file; exact title; M/MO or M/MP source copy; classification.","Close with Request C plus Request D.",research-request-packet.html#batch-c-nsr-16-budget-and-program-review
4,"Reagan-Bush Transition Briefing Book: Background on NSC Organization and Administration","Partial locator","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, NSC Institutional Files, Transition Files, [OA/ID or folder to verify], Reagan-Bush Transition Briefing Book: Background on NSC Organization and Administration. [Classification marking to verify].","Exact collection/series, OA/ID or box/folder, document/page selected, classification, authorship or cover memo.","Use NSC administrative transition review and archival pull matrix.",nsc-admin-transition-review.html
5,"National Security Council Administrative Manual","Support only","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, NSC Institutional Files, Transition Files, [OA/ID or folder to verify], National Security Council Administrative Manual. [Classification marking to verify].","Exact folder, page range, date/version, classification, whether cited as manual support or selected document.","Use for source-note support unless a decision-bearing page emerges.",nsc-admin-transition-review.html
6,"NSC/DC 151, Definition of Covert Action, July 5, 1990","Partial","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings, OA/ID 90015-009, NSC/DC 151--July 05, 1990--NSC/DC Meeting on Definition of Covert Action. [Classification marking to verify]. [Meeting time/location, summary/minutes status, and tabs to verify.]","Classification, meeting location/time, minutes or summary status, attachment list, release/withdrawal status, draft statutory/report-language tabs.","Use Request A1; compare public file in declassified index.",research-request-packet.html#a1-nscdc-151-definition-of-covert-action
7,"NSC0062, Intelligence Capabilities/1992-2005, March 25, 1992","Partial","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90002-032, NSC0062--March 25, 1992--Intelligence Capabilities/1992-2005. [Classification marking to verify]. [Meeting time/location, participant list, attachments, and withheld tabs to verify.]","Classification, meeting location/time, participant list, Gates presentation, Scowcroft outline, requirements report, intelligence-priorities report, duplicate tab comparison.","Use Request B1 and compare with row 8.",research-request-packet.html#b1-nsc0062-intelligence-capabilities
8,"NSC Meeting NSR-29 Intelligence Priorities, March 25, 1992","Partial","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Follow-up, OA/ID 90043-037, NSC Meeting NSR-29-Intelligence Priorities 3/25/92. [Classification marking to verify]. [Relationship to NSC0062 packet, attachments, and withheld tabs to verify.]","Relationship to NSC0062, duplicate/variant tabs, classification, attachment status, fullest control source.","Use Request B2; select the better control file after comparison.",research-request-packet.html#b2-nsr-29-intelligence-priorities-packet
9,"NSD 79, Approval and Review of Covert Action, January 19, 1993","Partial","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, OA/ID 90005-033, NSD-79--January 19, 1993--Approval and Review of Covert Action. [Classification marking to verify]. [Signed-final, distribution, legal memorandum, and version-control notes to verify.]","Signed-final status, classification, distribution list, Rostow/legal memorandum, Scowcroft transmittals, version history, terminal-date approval.","Use Request A4; log compiler terminal-date decision in selection worksheet.",research-request-packet.html#a4-nsd-79-approval-and-review-of-covert-action
10,"NSC Meeting, Covert Action 12/20/91","Not ready / MDR target","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Follow-up, OA/ID 90043-025, [folder title to verify]. [Classification marking to verify].","Substantive minutes or decision paper, classification, meeting record, participant list, attachment list, withdrawal details.","Use Request A2; keep as chronology/MDR target unless substantive pages release.",research-request-packet.html#a2-december-20-1991-covert-action-nsc-meeting
11,"NSC0066, Covert Action, December 23, 1992","Not ready","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, [NSC Meetings series to verify], OA/ID [verify], NSC0066--December 23, 1992--Covert Action. [Classification marking to verify].","File unit, OA/ID/local ID, release status, minutes/summary, participants, attachments, source series.","Use Request A3; select only if late-1992 endpoint is needed.",research-request-packet.html#a3-nsc0066-covert-action
12,"NSR 29 and NSD 67 official control copies","Not ready / public locator","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, [NSR Files/NSD Files to verify], OA/ID [verify], [NSR-29 or NSD-67 folder title]. [Classification marking to verify].","Official directive/control copy, OA/ID, folder title, distribution, fact sheet, OMB clearance, Gates/Scowcroft memoranda, implementation guidance.","Use Request B3; do not cite FAS/Public Papers as final source.",research-request-packet.html#b3-nsr-29-and-nsd-67-control-copies
13,"Bush PDB process/control record","Not ready","Source: Central Intelligence Agency, [PDB Staff/Office of Current Production and Analytic Support records to verify], [file title/control number]. [Classification and handling markings to verify]. [Briefing, distribution-control, briefer-note, or presidential-feedback detail to verify.]","Record type, originating office, file title/control number, classification, release status, whether record is a control sheet, briefer note, tasking log, distribution instruction, or supplement.","Use Request E1; public CIA histories remain locators only.",research-request-packet.html#e1-bush-pdb-process-records
14,"Presidential Daily Diary and Daily Backup support","Support only","Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, GB-WHASF-001, [date or folder title]. [Classification marking to verify]. [Entry time, location, participants, telephone-call status, or backup-material note to verify.]","Date-specific entry/page, backup material type, classification if any, call status, participants, paired substantive record.","Use Request E2; do not use as substitute for memcons, telcons, PDB content, or minutes.",research-request-packet.html#e2-daily-diary-and-backup-cross-checks
15,"State lot-file candidates","Not ready","Source: Department of State, [office or Executive Secretariat], [records series], Lot [number], [collection title], [folder title]. [Classification; handling]. [Drafted by/cleared by/meeting location/cross-reference note.]","Exact office, lot file, folder, document selected, classification, drafting/clearance, relationship to public statements.","Use Batch F; prioritize Baker, Eagleburger, Kimmitt, Zoellick, Kanter, and Ross files.",research-request-packet.html#batch-f-state-lot-files
16,"Public State, Current Policy, Dispatch, statutes, and Public Papers","Fallback / support only","Source: Department of State, [publication title], [issue/date], pp. [pages]. No classification marking. [Editorial note explaining why no archival copy was located, if needed.]","Page numbers, publication issue, whether no archival copy was found, and why public fallback is acceptable.","Use only for editorial notes or fallback. Replace with archival State, NSC, White House, OMB, DCI, or committee records when possible.",declassified-document-index.html
