slot,chapter_lane,candidate,current_evidence,selection_posture,source_note_status,request_batch,request_batch_link,compiler_decision
1,Field management,"President Bush Chief-of-Mission letter, July 12, 1990","Published State text and related NARA authority file, NAID 470760858","Promote once signed/circulated copy is found; public text can be fallback only","Not final: needs repository, office/series, folder, classification, routing, distribution",Batch D,research-request-packet.html#batch-d-chief-of-mission-letter,"Pull final copy first; likely one of the volume's strongest documents."
2,Budget/program review,"NSR-16, Comprehensive Review of International Affairs Budget and Programs, June 7, 1989","NARA Catalog record, NAID 446394955, and project OCR review","Promote for review; use as Function 150 spine","Partial: needs OA/ID, exact folder, classification, signature/routing, attachments",Batch C,research-request-packet.html#batch-c-nsr-16-budget-and-program-review,"Review full file and follow-on papers before choosing printed text."
3,Overseas staffing,Chief-of-Mission Authority / NSDD 38 staffing package,"Embedded in NSR-16 public scan and related NARA authority file, NAID 470760858","Hold as likely implementation companion to the Bush letter","Not final: attachment relationship and source file must be verified","Batch C and Batch D","research-request-packet.html#batch-c-nsr-16-budget-and-program-review; research-request-packet.html#batch-d-chief-of-mission-letter","Select only if it shows implementation machinery or agency conflict."
4,Intelligence consumption,"Bush PDB process/control records","CIA public histories: First Callers, Getting to Know the President, and Model Consumer article","Hold; public histories prove the lane, not the selected document","No selected source note yet",Batch E1,research-request-packet.html#e1-bush-pdb-process-records,"Seek briefer note, control sheet, tasking log, distribution record, or releasable cover/supplement."
5,Intelligence chronology,Presidential Daily Diary and Daily Backup entries,"NAID 186322, Bush finding aid, and date-specific Daily Record pages","Support; use for time, participants, calls, and backup material","Support-note form drafted, but each date needs exact entry/page",Batch E2,research-request-packet.html#e2-daily-diary-and-backup-cross-checks,"Pair with memcons, telcons, NSC files, or PDB process records; do not use for substantive content alone."
6,Covert action / Congress,"NSC/DC 151, Definition of Covert Action, July 5, 1990","NAID 352356448 and public Bush Library/NARA PDF","Promote for review; best recovered early covert-action/congressional-interaction packet","Partial: OA/ID 90015-009 known; classification, meeting record, tabs need verification",Batch A1,research-request-packet.html#a1-nscdc-151-definition-of-covert-action,"If minutes or summary release, likely selected document; otherwise use as MDR anchor/source support."
7,Covert action / Congress,"NSD 79, Approval and Review of Covert Action, January 19, 1993","Bush Library/NARA H-Files, NSD Files, OA/ID 90005-033","Promote, subject to terminal-date decision","Partial: OA/ID 90005-033 known; signed-final status, distribution, legal memo, and version history need verification",Batch A4,research-request-packet.html#a4-nsd-79-approval-and-review-of-covert-action,"Ask compiler whether January 19, 1993 can serve as Bush capstone; if yes, high-value anchor."
8,Intelligence budget / IC organization,"NSC0062 and NSR-29 Intelligence Priorities packets, March 25, 1992","NAIDs 470760970 and 470761501 plus public Bush Library/NARA PDFs","Promote for review; best recovered public-control files for IC reorganization and budget mechanism","Partial: OA/IDs 90002-032 and 90043-037 known; compare duplicate/variant tabs","Batch B1 and Batch B2","research-request-packet.html#b1-nsc0062-intelligence-capabilities; research-request-packet.html#b2-nsr-29-intelligence-priorities-packet","If Gates briefing or requirements report releases, likely selected document."
9,Intelligence budget / IC organization,NSR 29 and NSD 67 control copies,"FAS NSR/NSD indexes and Fitzwater statement","Hold; public locators are not enough","Not final: official control copies and backing papers missing",Batch B3,research-request-packet.html#b3-nsr-29-and-nsd-67-control-copies,"Pull signed/circulated copies; compare with March 25 meeting packets."
10,Covert-action chronology,"NSC Meeting Covert Action, December 20, 1991","NAID 470761489 and public Bush Library/NARA PDF","Hold/MDR; current public file is mostly control and withdrawal material","Partial: NAID/local ID known; substantive text missing",Batch A2,research-request-packet.html#a2-december-20-1991-covert-action-nsc-meeting,"Use as chronology/MDR target only unless minutes or decision papers release."
