trigger,follow_up_route,send_when,include,same_pass_update
Partially released substantive record,"Targeted MDR re-review or appeal","Withheld pages/tabs appear central to selection value or source-note fields","Original request ID, release date, file unit, page/tab numbers, exemptions, and why the withheld material is needed for organization/management history","request-tracking-ledger.html; response-intake-sheet.html; source-note-worklist.html; candidate-closeout-board.html"
Withdrawal sheets only,"Narrow MDR re-review","Withdrawal metadata names minutes, summary, decision paper, attachment, legislative language, Gates briefing, or legal memo","Withdrawal-sheet count, document titles/dates, exemptions, file unit, OA/ID or other repository control identifier, any NAID locator, and selected pages/tabs for re-review","response-triage-sheet.html; candidate-closeout-board.html"
Referred to another agency,"Referral status follow-up","Referral agency, date, or tracking number is known but no substantive response has arrived","Referring office, receiving agency, referral date, original and new tracking numbers, file unit, and requested status update",request-tracking-ledger.html
Not located narrow search,"Broadened search request","Response searched only one office, series, date range, or keyword set","Exact search scope from response, missing likely offices/series, alternate names, dates, OA/IDs, NAIDs, and public/source anchors",source-note-worklist.html
Not located broad documented search,"Fallback confirmation or alternate repository check","Search appears broad enough to support fallback or drop, but fallback decision needs evidence","Search scope, repositories searched, public fallback text, and request for confirmation that no archival control copy was located",decision-resolution-sheet.html
Better file unit identified,"New file-unit request","Response names a better folder, OA/ID, lot file, box, series, or NAID locator","Parent request ID, new repository control identifiers, any public locator identifiers, relationship to original target, and exact scan/MDR/folder pull ask","request-tracking-ledger.html; request-send-sheet.html"
Duplicate or variant packet found,"Packet comparison request","Two packets overlap and one may be fuller or cleaner for source-note control","Both file units, page counts, release differences, duplicate tabs, variant tabs, and request for missing pages or clearer control source","source-note-field-matrix.html; decision-resolution-sheet.html"
Released copy but source-note fields missing,"Clarification request","A scan is usable but does not show folder title, classification, routing, attachments, or version status","File name, page count, suspected source, missing FRUS fields, and request for repository/source-note metadata",source-note-worklist.html
Public fallback only,"Archival copy confirmation","Public text exists, but final source-note standard requires a documented archival search","Public citation, suspected archival offices/series, requested search scope, and fallback decision need",decision-resolution-sheet.html
New public/control link found,"Link-health refresh","A response supplies a public file unit, PDF, catalog record, or publication link","URL, page title, date accessed, response context, and source-note role: locator, control copy, fallback, or support","link-health-audit.html; public-site-gap-check.html"
